Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,2.8461,1.3587,1.4237,1.4237,0.5169,0.4504,0.2831,inf
2,2.4186,1.0693,1.2187,1.2187,0.6906,0.6662,0.6471,1.3587
3,2.1647,1.0109,1.2024,1.2024,0.7499,0.6735,0.6546,1.0693
4,1.9987,0.8427,0.8889,0.8889,0.7758,0.8236,0.8233,1.0109
5,1.8190,0.7515,0.7768,0.7768,0.7707,0.8222,0.8215,0.8427
6,1.7434,0.7860,0.7610,0.7610,0.7803,0.8367,0.8347,0.7515
7,1.6714,0.7341,0.7392,0.7392,0.7821,0.8251,0.8231,0.7515
8,1.6326,0.7324,0.7345,0.7345,0.7945,0.8411,0.8405,0.7341
9,1.6291,0.7603,0.7298,0.7298,0.7936,0.8294,0.8276,0.7324
10,1.5780,0.7520,0.7202,0.7202,0.7922,0.8382,0.8344,0.7324
11,1.5220,0.7152,0.7171,0.7171,0.7965,0.8411,0.8389,0.7324
12,1.5059,0.7135,0.7379,0.7379,0.7840,0.8265,0.8248,0.7152
13,1.4942,0.7384,0.7366,0.7366,0.7858,0.8382,0.8368,0.7135
14,1.4567,0.6962,0.7443,0.7443,0.7832,0.8251,0.8245,0.7135
15,1.4461,0.6900,0.7539,0.7539,0.7798,0.8236,0.8232,0.6962
16,1.4179,0.7068,0.7257,0.7257,0.7884,0.8338,0.8313,0.6900
17,1.4029,0.7508,0.8262,0.8262,0.7835,0.8134,0.8139,0.6900
18,1.4064,0.6635,0.7229,0.7229,0.7911,0.8324,0.8317,0.6900
19,1.3444,0.6643,0.7217,0.7217,0.7914,0.8294,0.8285,0.6635
20,1.3321,0.7005,0.7698,0.7698,0.7878,0.8207,0.8206,0.6635
21,1.3073,0.6898,0.7492,0.7492,0.7859,0.8178,0.8165,0.6635
22,1.2826,0.6868,0.7449,0.7449,0.7866,0.8222,0.8215,0.6635
23,1.2735,0.6874,0.7338,0.7338,0.7868,0.8236,0.8230,0.6635
24,1.2545,0.7114,0.7762,0.7762,0.7844,0.8207,0.8207,0.6635
25,1.2410,0.7147,0.7662,0.7662,0.7811,0.8222,0.8210,0.6635
26,1.2368,0.7159,0.7791,0.7791,0.7777,0.8149,0.8146,0.6635
27,1.2126,0.6772,0.7394,0.7394,0.7851,0.8207,0.8193,0.6635
28,1.2062,0.6899,0.7172,0.7172,0.7932,0.8353,0.8325,0.6635
