Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,0.9129,0.5698,0.5763,0.5763,0.7491,0.8373,0.8311,inf
2,0.7108,0.5446,0.5541,0.5541,0.7627,0.8384,0.8393,0.5698
3,0.6112,0.5594,0.5728,0.5728,0.7616,0.8131,0.8178,0.5446
4,0.5339,0.5283,0.5399,0.5399,0.7622,0.8201,0.8239,0.5446
5,0.4870,0.5613,0.5702,0.5702,0.7598,0.8199,0.8241,0.5283
6,0.4421,0.5694,0.5858,0.5858,0.7620,0.7836,0.7925,0.5283
7,0.4102,0.5411,0.5536,0.5536,0.7686,0.8313,0.8339,0.5283
8,0.3815,0.5310,0.5460,0.5460,0.7649,0.7770,0.7862,0.5283
9,0.3569,0.5504,0.5588,0.5588,0.7640,0.8379,0.8396,0.5283
10,0.3433,0.5546,0.5629,0.5629,0.7685,0.8150,0.8198,0.5283
11,0.3234,0.5528,0.5651,0.5651,0.7649,0.8176,0.8216,0.5283
12,0.3117,0.5559,0.5650,0.5650,0.7611,0.7851,0.7938,0.5283
13,0.2998,0.5346,0.5501,0.5501,0.7633,0.7989,0.8062,0.5283
14,0.2903,0.5433,0.5531,0.5531,0.7666,0.8062,0.8123,0.5283
