Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,1.4893,0.5800,0.5934,0.5934,0.7375,0.8268,0.8257,inf
2,1.1647,0.5389,0.5478,0.5478,0.7645,0.8270,0.8307,0.5800
3,1.0119,0.5254,0.5453,0.5453,0.7658,0.8317,0.8343,0.5389
4,0.8946,0.5234,0.5440,0.5440,0.7622,0.8165,0.8212,0.5254
5,0.8186,0.5491,0.5595,0.5595,0.7638,0.8085,0.8148,0.5234
6,0.7567,0.5338,0.5594,0.5594,0.7667,0.7884,0.7970,0.5234
7,0.7079,0.5572,0.5735,0.5735,0.7683,0.8364,0.8374,0.5234
8,0.6697,0.5454,0.5737,0.5737,0.7571,0.7733,0.7829,0.5234
9,0.6421,0.5448,0.5519,0.5519,0.7568,0.8058,0.8118,0.5234
10,0.6208,0.5533,0.5584,0.5584,0.7580,0.8055,0.8107,0.5234
11,0.5913,0.5406,0.5436,0.5436,0.7630,0.8356,0.8374,0.5234
12,0.5761,0.5622,0.5670,0.5670,0.7624,0.8120,0.8167,0.5234
13,0.5597,0.5461,0.5554,0.5554,0.7604,0.7967,0.8040,0.5234
14,0.5443,0.5506,0.5565,0.5565,0.7642,0.8051,0.8113,0.5234
