Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,1.1065,0.5836,0.5904,0.5904,0.7437,0.8352,0.8321,inf
2,0.8654,0.5355,0.5441,0.5441,0.7651,0.8429,0.8405,0.5836
3,0.7511,0.5834,0.5999,0.5999,0.7581,0.8227,0.8266,0.5355
4,0.6691,0.5477,0.5607,0.5607,0.7605,0.8100,0.8155,0.5355
5,0.6013,0.5516,0.5624,0.5624,0.7616,0.8103,0.8161,0.5355
6,0.5531,0.5672,0.5790,0.5790,0.7631,0.7839,0.7930,0.5355
7,0.5113,0.5718,0.5784,0.5784,0.7651,0.8253,0.8293,0.5355
8,0.4807,0.5308,0.5501,0.5501,0.7615,0.7961,0.8040,0.5355
9,0.4548,0.5573,0.5640,0.5640,0.7636,0.8085,0.8143,0.5308
10,0.4359,0.5636,0.5729,0.5729,0.7637,0.8139,0.8188,0.5308
11,0.4138,0.5294,0.5407,0.5407,0.7643,0.8193,0.8236,0.5308
12,0.3990,0.5418,0.5542,0.5542,0.7618,0.8154,0.8201,0.5294
13,0.3897,0.5565,0.5659,0.5659,0.7632,0.8115,0.8165,0.5294
14,0.3766,0.5436,0.5577,0.5577,0.7673,0.8253,0.8287,0.5294
15,0.3690,0.5445,0.5480,0.5480,0.7619,0.8122,0.8169,0.5294
16,0.3573,0.5341,0.5439,0.5439,0.7611,0.8083,0.8139,0.5294
17,0.3545,0.5600,0.5660,0.5660,0.7584,0.8000,0.8067,0.5294
18,0.3455,0.5591,0.5649,0.5649,0.7576,0.8004,0.8069,0.5294
19,0.3350,0.5645,0.5691,0.5691,0.7573,0.8045,0.8107,0.5294
20,0.3312,0.5719,0.5756,0.5756,0.7553,0.8206,0.8241,0.5294
21,0.3258,0.5742,0.5791,0.5791,0.7566,0.8298,0.8324,0.5294
