Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,2.4353,0.5887,0.5933,0.5933,0.7458,0.8360,0.8326,inf
2,1.8956,0.5343,0.5429,0.5429,0.7620,0.8266,0.8300,0.5887
3,1.6104,0.5189,0.5429,0.5429,0.7649,0.8193,0.8244,0.5343
4,1.4440,0.5431,0.5554,0.5554,0.7619,0.8171,0.8210,0.5189
5,1.3396,0.5256,0.5333,0.5333,0.7684,0.8285,0.8316,0.5189
6,1.2721,0.5346,0.5505,0.5505,0.7606,0.7972,0.8044,0.5189
7,1.2016,0.5409,0.5535,0.5535,0.7677,0.8264,0.8293,0.5189
8,1.1506,0.5346,0.5517,0.5517,0.7651,0.7916,0.7996,0.5189
9,1.1104,0.5365,0.5459,0.5459,0.7657,0.8298,0.8333,0.5189
10,1.0662,0.5375,0.5497,0.5497,0.7661,0.7974,0.8043,0.5189
11,1.0257,0.5487,0.5591,0.5591,0.7630,0.8085,0.8144,0.5189
12,0.9959,0.5383,0.5514,0.5514,0.7611,0.7897,0.7972,0.5189
13,0.9716,0.5396,0.5466,0.5466,0.7631,0.8118,0.8171,0.5189
