Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,1.6846,0.5588,0.5764,0.5764,0.7358,0.8259,0.8291,inf
2,1.3085,0.5473,0.5529,0.5529,0.7659,0.8452,0.8420,0.5588
3,1.1349,0.5625,0.5729,0.5729,0.7658,0.8025,0.8088,0.5473
4,1.0052,0.5655,0.5758,0.5758,0.7683,0.8362,0.8380,0.5473
5,0.9107,0.5397,0.5472,0.5472,0.7723,0.8313,0.8341,0.5473
6,0.8413,0.5416,0.5516,0.5516,0.7717,0.8178,0.8229,0.5397
7,0.7958,0.5618,0.5742,0.5742,0.7590,0.7939,0.8014,0.5397
8,0.7537,0.5576,0.5779,0.5779,0.7670,0.7579,0.7689,0.5397
9,0.7247,0.5464,0.5607,0.5607,0.7612,0.8272,0.8299,0.5397
10,0.6987,0.5731,0.5823,0.5823,0.7631,0.8036,0.8100,0.5397
11,0.6737,0.5364,0.5506,0.5506,0.7660,0.8036,0.8101,0.5397
12,0.6553,0.5563,0.5737,0.5737,0.7644,0.8188,0.8230,0.5364
13,0.6410,0.5647,0.5773,0.5773,0.7599,0.8251,0.8290,0.5364
14,0.6256,0.5650,0.5782,0.5782,0.7612,0.7871,0.7956,0.5364
15,0.6145,0.5539,0.5671,0.5671,0.7635,0.8122,0.8177,0.5364
16,0.6028,0.5414,0.5545,0.5545,0.7618,0.8055,0.8116,0.5364
17,0.5928,0.5409,0.5518,0.5518,0.7558,0.8055,0.8109,0.5364
18,0.5847,0.5479,0.5694,0.5694,0.7526,0.8103,0.8158,0.5364
19,0.5742,0.5497,0.5593,0.5593,0.7583,0.8131,0.8177,0.5364
20,0.5674,0.5462,0.5562,0.5562,0.7558,0.8122,0.8168,0.5364
21,0.5593,0.5497,0.5635,0.5635,0.7554,0.7991,0.8059,0.5364
