Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,2.0659,0.5666,0.5778,0.5778,0.7464,0.8313,0.8281,inf
2,1.6083,0.5442,0.5483,0.5483,0.7711,0.8388,0.8400,0.5666
3,1.3734,0.5496,0.5629,0.5629,0.7678,0.8362,0.8382,0.5442
4,1.2280,0.5230,0.5403,0.5403,0.7627,0.8133,0.8187,0.5442
5,1.1331,0.5253,0.5354,0.5354,0.7699,0.8124,0.8181,0.5230
6,1.0695,0.5336,0.5486,0.5486,0.7618,0.8000,0.8075,0.5230
7,1.0167,0.5460,0.5590,0.5590,0.7673,0.8382,0.8397,0.5230
8,0.9682,0.5447,0.5517,0.5517,0.7710,0.8236,0.8279,0.5230
9,0.9310,0.5302,0.5392,0.5392,0.7687,0.8066,0.8133,0.5230
10,0.8896,0.5373,0.5459,0.5459,0.7621,0.7995,0.8064,0.5230
11,0.8605,0.5553,0.5581,0.5581,0.7684,0.8199,0.8243,0.5230
12,0.8388,0.5376,0.5463,0.5463,0.7657,0.8231,0.8264,0.5230
13,0.8161,0.5352,0.5435,0.5435,0.7692,0.8049,0.8115,0.5230
14,0.7964,0.5360,0.5368,0.5368,0.7685,0.8111,0.8162,0.5230
