Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,1.8671,0.5864,0.5901,0.5901,0.7423,0.8373,0.8296,inf
2,1.4567,0.5611,0.5668,0.5668,0.7625,0.8444,0.8401,0.5864
3,1.2610,0.5652,0.5798,0.5798,0.7566,0.8341,0.8355,0.5611
4,1.1180,0.5395,0.5545,0.5545,0.7494,0.8094,0.8130,0.5611
5,1.0217,0.5321,0.5392,0.5392,0.7660,0.7972,0.8049,0.5395
6,0.9511,0.5559,0.5661,0.5661,0.7578,0.8051,0.8116,0.5321
7,0.8902,0.5729,0.5748,0.5748,0.7656,0.8324,0.8350,0.5321
8,0.8466,0.5628,0.5845,0.5845,0.7575,0.7622,0.7728,0.5321
9,0.8180,0.5576,0.5731,0.5731,0.7609,0.8176,0.8223,0.5321
10,0.7874,0.5645,0.5745,0.5745,0.7631,0.8255,0.8290,0.5321
11,0.7635,0.5364,0.5526,0.5526,0.7591,0.7982,0.8055,0.5321
12,0.7394,0.5706,0.5890,0.5890,0.7577,0.8197,0.8234,0.5321
13,0.7250,0.5638,0.5834,0.5834,0.7618,0.8146,0.8200,0.5321
14,0.7064,0.5481,0.5463,0.5463,0.7674,0.8339,0.8363,0.5321
15,0.6959,0.5656,0.5702,0.5702,0.7598,0.8294,0.8300,0.5321
