Epoch,Train_Loss,Valid_Loss,Test_Loss,Test_MAE,Test_Corr,Test_Acc_2,Test_F1,Best_Valid_Loss
1,2.2497,0.5585,0.5663,0.5663,0.7502,0.8264,0.8266,inf
2,1.7485,0.5382,0.5511,0.5511,0.7643,0.8296,0.8323,0.5585
3,1.4949,0.5483,0.5687,0.5687,0.7640,0.8264,0.8300,0.5382
4,1.3302,0.5231,0.5405,0.5405,0.7659,0.8060,0.8120,0.5382
5,1.2338,0.5383,0.5487,0.5487,0.7647,0.8311,0.8344,0.5231
6,1.1683,0.5362,0.5516,0.5516,0.7646,0.7652,0.7755,0.5231
7,1.1111,0.5640,0.5715,0.5715,0.7677,0.8268,0.8301,0.5231
8,1.0574,0.5485,0.5598,0.5598,0.7654,0.7645,0.7748,0.5231
9,1.0220,0.5300,0.5363,0.5363,0.7677,0.8034,0.8094,0.5231
10,0.9780,0.5647,0.5691,0.5691,0.7677,0.8131,0.8182,0.5231
11,0.9475,0.5544,0.5608,0.5608,0.7652,0.8058,0.8118,0.5231
12,0.9241,0.5382,0.5452,0.5452,0.7669,0.7907,0.7985,0.5231
13,0.9042,0.5460,0.5523,0.5523,0.7645,0.7946,0.8022,0.5231
14,0.8853,0.5408,0.5404,0.5404,0.7689,0.8195,0.8236,0.5231
